monitor,source_file
Asus TUF Gaming VG27AQ,csv_files/monitor.csv
Asus VG248QG,csv_files/monitor.csv
Dell UP3218K,csv_files/monitor.csv
Gigabyte M27Q,csv_files/monitor.csv
Gigabyte G27Q,csv_files/monitor.csv
Samsung Odyssey G7,csv_files/monitor.csv
Acer Nitro QG241Y Pbmiipx,csv_files/monitor.csv
Samsung Odyssey G9 Neo S49AG952N,csv_files/monitor.csv
Acer SB220Q bi,csv_files/monitor.csv
LG 27GN800-B,csv_files/monitor.csv
Asus ProArt PQ22UC,csv_files/monitor.csv
Alienware AW3423DWF,csv_files/monitor.csv
Asus TUF Gaming VG249Q1A,csv_files/monitor.csv
Dell S2522HG,csv_files/monitor.csv
Asus ROG Swift 360Hz PG27AQN,csv_files/monitor.csv
Gigabyte ‎M28U,csv_files/monitor.csv
LG 27GR95QE-B,csv_files/monitor.csv
Asus TUF Gaming VG279QM,csv_files/monitor.csv
LG 27GP850-B,csv_files/monitor.csv
VIOTEK GFV22CB,csv_files/monitor.csv
Dell UP3218K,csv_files/monitor.csv
MSI Optix G24C4,csv_files/monitor.csv
Samsung Odyssey Neo G8 LS32BG852NNXGO,csv_files/monitor.csv
Gigabyte G24F 2,csv_files/monitor.csv
Asus VP228HE,csv_files/monitor.csv
Acer Nitro XV272U Vbmiiprx,csv_files/monitor.csv
Acer VG272 LVbmiipx,csv_files/monitor.csv
Asus VG278Q,csv_files/monitor.csv
Corsair XENEON FLEX 45WQHD240,csv_files/monitor.csv
Samsung ARK,csv_files/monitor.csv
LG 24GN650-B,csv_files/monitor.csv
Samsung Odyssey G8,csv_files/monitor.csv
NEC E222W-BK,csv_files/monitor.csv
Asus TUF Gaming VG27BQ,csv_files/monitor.csv
Asus ROG Swift OLED PG27AQDM,csv_files/monitor.csv
Samsung Odyssey G9,csv_files/monitor.csv
LG 27GL83A-B,csv_files/monitor.csv
LG 45GR95QE-B,csv_files/monitor.csv
AOC C27G2Z,csv_files/monitor.csv
Asus VA24EHE,csv_files/monitor.csv
LG 27GN950-B,csv_files/monitor.csv
AOC 24G2SP,csv_files/monitor.csv
Asus TUF Gaming VG27AQA1A,csv_files/monitor.csv
MSI Optix G274QRFW,csv_files/monitor.csv
Samsung Odyssey G5,csv_files/monitor.csv
Alienware AW3423DW,csv_files/monitor.csv
Gigabyte M32U,csv_files/monitor.csv
LG 27GL850-B,csv_files/monitor.csv
Samsung Odyssey G7 LC32G75TQSNXZA,csv_files/monitor.csv
MSI Optix G24C,csv_files/monitor.csv
HP OMEN 27QS,csv_files/monitor.csv
Asus ROG Strix XG32UQ,csv_files/monitor.csv
Asus ROG Strix XG27AQM,csv_files/monitor.csv
MSI Optix G273,csv_files/monitor.csv
Asus TUF GAMING VG249Q,csv_files/monitor.csv
Dell E1914H,csv_files/monitor.csv
MSI Optix G241,csv_files/monitor.csv
Asus ProArt Display PA32UCG-K,csv_files/monitor.csv
Gigabyte ‎M34WQ,csv_files/monitor.csv
Asus TUF Gaming VG28UQL1A,csv_files/monitor.csv
ViewSonic VX2718-2KPC-MHD,csv_files/monitor.csv
LG 32GN600-B,csv_files/monitor.csv
Corsair XENEON 27QHD240,csv_files/monitor.csv
MSI Pro MP241X,csv_files/monitor.csv
Samsung T350,csv_files/monitor.csv
Asus ROG Swift OLED PG42UQ,csv_files/monitor.csv
Samsung S27AG50,csv_files/monitor.csv
AOC 24G2,csv_files/monitor.csv
Asus VP228DE,csv_files/monitor.csv
Alienware AW2523HF,csv_files/monitor.csv
Samsung Odyssey G4,csv_files/monitor.csv
Dell S2721DGF,csv_files/monitor.csv
BenQ Zowie XL2546K,csv_files/monitor.csv
Asus ProArt Display PA32UCG-K,csv_files/monitor.csv
Dell G3223Q,csv_files/monitor.csv
ASRock PG27FF1A,csv_files/monitor.csv
ASRock PG27Q15R2A,csv_files/monitor.csv
Lenovo G24-20,csv_files/monitor.csv
Asus VG248QE,csv_files/monitor.csv
Dell S3422DWG,csv_files/monitor.csv
Asus TUF Gaming VG27AQ1A,csv_files/monitor.csv
Asus VP228QG,csv_files/monitor.csv
MSI Optix MAG274QRF-QD,csv_files/monitor.csv
Samsung Odyssey G7 LS28AG700NNXZA,csv_files/monitor.csv
Gigabyte ‎M32UC,csv_files/monitor.csv
Gigabyte M27Q-P,csv_files/monitor.csv
Sceptre C305B-200UN,csv_files/monitor.csv
Asus TUF GAMING VG259QM,csv_files/monitor.csv
HP OMEN 24,csv_files/monitor.csv
MSI G274QPF-QD,csv_files/monitor.csv
LG 27GP950-B,csv_files/monitor.csv
LG 32GP850-B,csv_files/monitor.csv
BenQ Zowie XL2566K,csv_files/monitor.csv
Asus TUF Gaming VG27AQL1A,csv_files/monitor.csv
Gigabyte G27QC A,csv_files/monitor.csv
Samsung U28R550,csv_files/monitor.csv
AOC C24G1,csv_files/monitor.csv
KTC H27T22,csv_files/monitor.csv
Sceptre C248B-144R,csv_files/monitor.csv
HP X24ih,csv_files/monitor.csv
Gigabyte G34WQC A,csv_files/monitor.csv
AOC Q27G2U/BK,csv_files/monitor.csv
Samsung Odyssey Neo G7,csv_files/monitor.csv
Alienware AW2524H,csv_files/monitor.csv
Dell S2719DGF,csv_files/monitor.csv
LG 22MP410-B,csv_files/monitor.csv
Samsung NC191-T,csv_files/monitor.csv
Samsung Odyssey G3,csv_files/monitor.csv
ViewSonic VX2418C,csv_files/monitor.csv
ViewSonic XG2431,csv_files/monitor.csv
AOC C27G2ZE/BK,csv_files/monitor.csv
LG UltraGear 27GN95B-B,csv_files/monitor.csv
LG 34GN850-B,csv_files/monitor.csv
ViewSonic ELITE XG321UG,csv_files/monitor.csv
Samsung LC27G55TQWNXZA,csv_files/monitor.csv
Asus TUF Gaming VG34VQL1B,csv_files/monitor.csv
Asus ROG Strix XG27AQMR,csv_files/monitor.csv
AOC 24B2XH,csv_files/monitor.csv
Dell S2722DGM,csv_files/monitor.csv
Asus ROG Swift PG259QN,csv_files/monitor.csv
Asus VG278QR,csv_files/monitor.csv
Asus TUF Gaming VG27WQ1B,csv_files/monitor.csv
Samsung Odyssey G5 C34G55T,csv_files/monitor.csv
AOC CU34G2X/BK,csv_files/monitor.csv
Dell AW2723DF,csv_files/monitor.csv
Asus ROG Swift PG279QM,csv_files/monitor.csv
LG 24GQ50F-B,csv_files/monitor.csv
Asus ROG SWIFT PG27UQ,csv_files/monitor.csv
Sceptre E275B-QPT168,csv_files/monitor.csv
Samsung CRG50,csv_files/monitor.csv
BenQ ZOWIE XL2411P,csv_files/monitor.csv
Asus ROG Swift OLED PG48UQ,csv_files/monitor.csv
MSI Optix G271,csv_files/monitor.csv
Acer XV252Q FBMIIPRX,csv_files/monitor.csv
MSI Optix MAG342CQR,csv_files/monitor.csv
Dell E1916HV,csv_files/monitor.csv
Monoprice CrystalPro,csv_files/monitor.csv
LG 24GN600-B,csv_files/monitor.csv
LG 32GP750-B,csv_files/monitor.csv
Acer KA272U biipx,csv_files/monitor.csv
Pixio PX248 Prime,csv_files/monitor.csv
MSI Optix MAG2732,csv_files/monitor.csv
Samsung Odyssey G32A,csv_files/monitor.csv
MSI PRO MP273,csv_files/monitor.csv
Alienware AW2521HF,csv_files/monitor.csv
Samsung C24F390,csv_files/monitor.csv
LG OLED evo,csv_files/monitor.csv
MSI Optix G273QPF,csv_files/monitor.csv
Asus ROG Swift PG259QNR,csv_files/monitor.csv
Asus ProArt Display PA278QV,csv_files/monitor.csv
Samsung Odyssey G40B,csv_files/monitor.csv
Gigabyte M32Q,csv_files/monitor.csv
AOC C24G1A,csv_files/monitor.csv
MSI Optix G27CQ4,csv_files/monitor.csv
LG 32GQ850-B,csv_files/monitor.csv
Gigabyte M27Q-X,csv_files/monitor.csv
LG 32GK650F-B,csv_files/monitor.csv
HP OMEN X Emperium 65,csv_files/monitor.csv
MSI Optix G2412,csv_files/monitor.csv
MSI Optix MPG321UR-QD,csv_files/monitor.csv
Asus ROG Strix XG349C,csv_files/monitor.csv
ASRock PG27F15RS1A,csv_files/monitor.csv
ViewSonic VX2418-P-MHD,csv_files/monitor.csv
LG 24GN50W-B,csv_files/monitor.csv
Gigabyte M27F A,csv_files/monitor.csv
Samsung Odyssey G50A,csv_files/monitor.csv
Acer XZ270 Xbmiipx,csv_files/monitor.csv
Asus VP249QGR,csv_files/monitor.csv
Acer EI322QUR Pbmiippx,csv_files/monitor.csv
Samsung T350,csv_files/monitor.csv
Asus ROG Strix XG249CM,csv_files/monitor.csv
